2026-04-27 13:35:30.339 INFO  [main] c.a.c.Ch12McpServerStdioDatetimeApplication - Starting Ch12McpServerStdioDatetimeApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 24732 (C:\ai-class\spring-ai\ch12-mcp-server-stdio-datetime\target\ch12-mcp-server-stdio-datetime-0.0.1-SNAPSHOT.jar started by admin in C:\ai-class\spring-ai)
2026-04-27 13:35:30.341 INFO  [main] c.a.c.Ch12McpServerStdioDatetimeApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-27 13:35:30.712 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-27 13:35:30.714 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-27 13:35:30.722 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-27 13:35:31.254 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2026-04-27 13:35:31.254 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 2
2026-04-27 13:35:31.254 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2026-04-27 13:35:31.254 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2026-04-27 13:35:31.254 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2026-04-27 13:35:31.254 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2026-04-27 13:35:31.430 INFO  [pool-2-thread-1] i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null, elicitation=null], Info: Implementation[name=spring-ai-mcp-client - ch12-mcp-server-stdio-datetime, title=ch12-mcp-server-stdio-datetime, version=1.0.0]
2026-04-27 13:35:31.485 INFO  [main] c.a.c.Ch12McpServerStdioDatetimeApplication - Started Ch12McpServerStdioDatetimeApplication in 1.467 seconds (process running for 2.103)
2026-04-27 13:37:04.056 INFO  [boundedElastic-1] c.a.c.tool.DateTimeTools - 현재 시간: 2026-04-27T13:37:04.056148500+09:00[Asia/Seoul]
2026-04-27 13:39:20.733 INFO  [boundedElastic-2] c.a.c.tool.DateTimeTools - 현재 시간: 2026-04-27T13:39:20.733389400+09:00[Asia/Seoul]
2026-04-27 13:39:21.608 INFO  [boundedElastic-2] c.a.c.tool.DateTimeTools - 알람 설정 시간: 2026-04-27T15:39:20
