2026-04-27 13:35:28.199 INFO  [main] c.a.c.Ch12McpServerStdioFilesystemApplication - Starting Ch12McpServerStdioFilesystemApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 18616 (C:\ai-class\spring-ai\ch12-mcp-server-stdio-filesystem\target\ch12-mcp-server-stdio-filesystem-0.0.1-SNAPSHOT.jar started by admin in C:\ai-class\spring-ai)
2026-04-27 13:35:28.202 INFO  [main] c.a.c.Ch12McpServerStdioFilesystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-27 13:35:28.564 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-27 13:35:28.565 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-27 13:35:28.574 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-27 13:35:29.116 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2026-04-27 13:35:29.116 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 6
2026-04-27 13:35:29.116 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2026-04-27 13:35:29.116 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2026-04-27 13:35:29.116 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2026-04-27 13:35:29.116 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2026-04-27 13:35:29.300 INFO  [pool-2-thread-1] i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null, elicitation=null], Info: Implementation[name=spring-ai-mcp-client - ch12-mcp-server-stdio-filesystem, title=ch12-mcp-server-stdio-filesystem, version=1.0.0]
2026-04-27 13:35:29.355 INFO  [main] c.a.c.Ch12McpServerStdioFilesystemApplication - Started Ch12McpServerStdioFilesystemApplication in 1.487 seconds (process running for 2.149)
2026-04-27 13:42:11.181 INFO  [boundedElastic-2] c.a.c.tool.FileSystemTools - java.nio.file.NoSuchFileException: C:\Users\admin\Documents\ch11-tool-calling\$ROOT\CopyFile.java
2026-04-27 13:43:49.020 INFO  [boundedElastic-3] c.a.c.tool.FileSystemTools - java.nio.file.NoSuchFileException: C:\Users\admin\Documents\ch11-tool-calling\CopyFile.java
