2026-04-27 10:22:21.997 INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.adacho.ch12_mcp_server_stdio_filesystem.Ch12McpServerStdioFilesystemApplicationTests]: Ch12McpServerStdioFilesystemApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-04-27 10:22:22.076 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.adacho.ch12_mcp_server_stdio_filesystem.Ch12McpServerStdioFilesystemApplication for test class com.adacho.ch12_mcp_server_stdio_filesystem.Ch12McpServerStdioFilesystemApplicationTests
2026-04-27 10:22:22.168 INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.adacho.ch12_mcp_server_stdio_filesystem.Ch12McpServerStdioFilesystemApplicationTests]: Ch12McpServerStdioFilesystemApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-04-27 10:22:22.168 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.adacho.ch12_mcp_server_stdio_filesystem.Ch12McpServerStdioFilesystemApplication for test class com.adacho.ch12_mcp_server_stdio_filesystem.Ch12McpServerStdioFilesystemApplicationTests
2026-04-27 10:22:22.466 INFO  [main] c.a.c.Ch12McpServerStdioFilesystemApplicationTests - Starting Ch12McpServerStdioFilesystemApplicationTests using Java 21.0.9 with PID 26652 (started by admin in c:\ai-class\spring-ai\ch12-mcp-server-stdio-filesystem)
2026-04-27 10:22:22.466 INFO  [main] c.a.c.Ch12McpServerStdioFilesystemApplicationTests - No active profile set, falling back to 1 default profile: "default"
2026-04-27 10:22:22.900 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-27 10:22:22.900 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-27 10:22:22.917 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-27 10:22:23.199 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2026-04-27 10:22:23.200 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 6
2026-04-27 10:22:23.200 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2026-04-27 10:22:23.200 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2026-04-27 10:22:23.200 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2026-04-27 10:22:23.200 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2026-04-27 10:22:23.438 INFO  [main] c.a.c.Ch12McpServerStdioFilesystemApplicationTests - Started Ch12McpServerStdioFilesystemApplicationTests in 1.229 seconds (process running for 2.239)
